State/UT,Confirmed Cases,Active Cases,Cured/Discharged,Death
Andaman and Nicobar Islands,7683,5,7549,129
Andhra Pradesh,2073093,2149,2056501,14443
Arunachal Pradesh,55279,35,54964,280
Assam,617039,2612,608319,6108
Bihar,726225,32,716530,9663
Chandigarh,65471,66,64585,820
Chhattisgarh,1006833,316,992924,13593
Dadra and Nagar Haveli and Daman and Diu,10683,1,10678,4
Delhi,1440973,286,1415589,25098
Goa,178990,327,175279,3384
Gujarat,827520,293,817134,10093
Haryana,771733,169,761510,10054
Himachal Pradesh,227269,864,222556,3849
Jammu and Kashmir,337086,1687,330922,4477
Jharkhand,349256,94,344022,5140
Karnataka,2996470,6603,2951654,38213
Kerala,5147219,44778,5061906,40535
Ladakh,21601,285,21102,214
Lakshadweep,10396,26,10319,51
Madhya Pradesh,793187,124,782535,10528
Maharashtra,6636425,11062,6484338,141025
Manipur,125236,659,122599,1978
Meghalaya,84510,298,82739,1473
Mizoram,135450,3772,131177,501
Nagaland,32125,133,31296,696
Odisha,1049345,2237,1038695,8413
Puducherry,128965,289,126803,1873
Punjab,603320,331,586384,16605
Rajasthan,954806,203,945648,8955
Sikkim,32252,127,31722,403
Tamil Nadu,2727635,8200,2682943,36492
Telangana,676187,3630,668564,3993
Tripura,84820,88,83908,824
Uttar Pradesh,1710405,92,1687402,22911
Uttarakhand,344303,178,336717,7408
West Bengal,1616751,7712,1589541,19498
